ICD-9-CM CODE,CCS CATEGORY,CCS CATEGORY DESCRIPTION,ICD-9-CM CODE DESCRIPTION
03.09,3,Laminectomy,SPINAL CANAL EXPLOR NEC
80.5,3,Laminectomy,EXCIS DESTR VERTEB DISC (Begin 1980 End 1986)
80.50,3,Laminectomy,EXC/DEST INTVRT DISC NOS (Begin 1986)
80.51,3,Laminectomy,EXCISION INTERVERT DISC (Begin 1986)
80.59,3,Laminectomy,OTH EXC/DEST INTVRT DISC (Begin 1986)
84.59,3,Laminectomy,INSERT OTHR SPIN DEVICE (Begin 2004)
84.60,3,Laminectomy,INSERT DISC PROS NOS (Begin 2004)
84.61,3,Laminectomy,INS PART DISC PROS CERV (Begin 2004)
84.62,3,Laminectomy,INS TOT DISC PROST CERV (Begin 2004)
84.63,3,Laminectomy,INS SPIN DISC PROS THOR (Begin 2004)
84.64,3,Laminectomy,INS PART DISC PROS LUMB (Begin 2004)
84.65,3,Laminectomy,INS TOTL DISC PROS LUMB (Begin 2004)
84.66,3,Laminectomy,REVISE DISC PROST CERV (Begin 2004)
84.67,3,Laminectomy,REVISE DISC PROST THORA (Begin 2004)
84.68,3,Laminectomy,REVISE DSIC PROSTH LUMB (Begin 2004)
84.69,3,Laminectomy,REVISE DISC PROSTH NOS (Begin 2004)
84.80,3,Laminectomy,INS/REPL INTERSPINE DEV (Begin 2007)
84.81,3,Laminectomy,REV INTERSPINE DEVICE (Begin 2007)
84.82,3,Laminectomy,INS/REPL PDCL STABIL DEV (Begin 2007)
84.83,3,Laminectomy,REV PEDCL DYN STABIL DEV (Begin 2007)
84.84,3,Laminectomy,INS/REPL FACET REPLC DEV (Begin 2007)
84.85,3,Laminectomy,REV FACET REPLACE DEVICE (Begin 2007)
03.31,4,Dx spinaltap,SPINAL TAP
03.8,5,Inject spine,DESTR INJECT-SPINE CANAL
03.90,5,Inject spine,INSERT SPINAL CANAL CATH (Begin 1987)
03.91,5,Inject spine,ANESTH INJECT-SPIN CANAL
03.92,5,Inject spine,SPINAL CANAL INJECT NEC
03.93,5,Inject spine,INSERT SPINAL STIMULATOR
03.94,5,Inject spine,REMOVE SPINAL STIMULATOR
04.43,6,Decomp nerve,CARPAL TUNNEL RELEASE
04.44,6,Decomp nerve,TARSAL TUNNEL RELEASE
04.49,6,Decomp nerve,PER NERVE ADHESIOLYS NEC
01.11,7,Ot Dx nerv,CLOS CEREB MENINGES BX
01.12,7,Ot Dx nerv,OPEN CEREB MENINGES BX
01.13,7,Ot Dx nerv,CLOSED BRAIN BIOPSY
01.14,7,Ot Dx nerv,OPEN BRAIN BIOPSY
01.15,7,Ot Dx nerv,SKULL BIOPSY
01.18,7,Ot Dx nerv,OTHER BRAIN DX PROCEDURE
01.19,7,Ot Dx nerv,OTHER SKULL DX PROCEDURE
03.32,7,Ot Dx nerv,SPINAL CORD/MENINGES BX
03.39,7,Ot Dx nerv,OTHER SPINAL DX PROC
04.11,7,Ot Dx nerv,CLOS PERIPH NERVE BIOPSY
04.12,7,Ot Dx nerv,OPEN PERIPH NERVE BIOPSY
04.19,7,Ot Dx nerv,PERIPH NERVE DX PROC NEC
05.11,7,Ot Dx nerv,SYMPATHETIC NERVE BIOPSY
05.19,7,Ot Dx nerv,SYMPATH NRV DX PROC NEC
01.02,8,Ot nOR nerv,VENTRICL SHUNT TUBE PUNC
02.41,8,Ot nOR nerv,IRRIGATE VENTRICLE SHUNT
02.95,8,Ot nOR nerv,REMOVE SKULL TONGS
03.21,8,Ot nOR nerv,PERCUTANEOUS CHORDOTOMY
03.95,8,Ot nOR nerv,SPINAL PATCH
03.96,8,Ot nOR nerv,PERCUTAN FACET DENERVAT
04.80,8,Ot nOR nerv,PERIPH NERVE INJECT NOS
04.81,8,Ot nOR nerv,ANESTH INJEC PERIPH NERV
04.89,8,Ot nOR nerv,PERIPH NERVE INJECT NEC
05.31,8,Ot nOR nerv,ANESTH INJECT SYMP NERVE
05.32,8,Ot nOR nerv,NEUROLYT INJEC-SYMP NRV
05.39,8,Ot nOR nerv,SYMPATH NERVE INJECT NEC
01.20,9,Ot OR nerv,Imp/repl brain pulse gen (Begin 2010)
01.29,9,Ot OR nerv,Rem brain pulse generatr (Begin 2010)
01.6,9,Ot OR nerv,EXCISE SKULL LESION
02.01,9,Ot OR nerv,LINEAR CRANIECTOMY
02.02,9,Ot OR nerv,ELEVATE SKULL FX FRAGMNT
02.03,9,Ot OR nerv,SKULL FLAP FORMATION
02.04,9,Ot OR nerv,BONE GRAFT TO SKULL
02.05,9,Ot OR nerv,SKULL PLATE INSERTION
02.06,9,Ot OR nerv,CRANIAL OSTEOPLASTY NEC
02.07,9,Ot OR nerv,SKULL PLATE REMOVAL
02.11,9,Ot OR nerv,SIMPLE SUTURE OF DURA
02.12,9,Ot OR nerv,BRAIN MENINGE REPAIR NEC
02.13,9,Ot OR nerv,MENINGE VESSEL LIGATION
02.14,9,Ot OR nerv,CHOROID PLEXECTOMY
02.2,9,Ot OR nerv,VENTRICULOSTOMY (end 2011)
02.21,9,Ot OR nerv,Insert/replace EVD (Begin 2011)
02.22,9,Ot OR nerv,Intrcran vent shunt/anas (Begin 2011)
02.91,9,Ot OR nerv,LYSIS CORTICAL ADHESION
02.92,9,Ot OR nerv,BRAIN REPAIR
02.93,9,Ot OR nerv,IMPLANT BRAIN STIMULATOR
02.94,9,Ot OR nerv,INSERT/REPLAC SKULL TONG
02.96,9,Ot OR nerv,INSERT SPHENOIDAL ELECTD (Begin 1992)
02.99,9,Ot OR nerv,SKULL & BRAIN OP NEC
03.01,9,Ot OR nerv,REMOVAL FB SPINAL CANAL
03.1,9,Ot OR nerv,INTRASPIN NERVE ROOT DIV
03.29,9,Ot OR nerv,OTHER CHORDOTOMY
03.4,9,Ot OR nerv,EXCIS SPINAL CORD LESION
03.51,9,Ot OR nerv,SPINE MENINGOCELE REPAIR
03.52,9,Ot OR nerv,MYELOMENINGOCEL REPAIR
03.53,9,Ot OR nerv,VERTEBRAL FX REPAIR
03.59,9,Ot OR nerv,SPINAL STRUCT REPAIR NEC
03.6,9,Ot OR nerv,SPINAL CORD ADHESIOLYSIS
03.71,9,Ot OR nerv,SUBARACH-PERITON SHUNT
03.72,9,Ot OR nerv,SUBARACH-URETERAL SHUNT
03.79,9,Ot OR nerv,OTH SPINAL THECAL SHUNT
03.97,9,Ot OR nerv,REVISE SPINE THECA SHUNT
03.98,9,Ot OR nerv,REMOVE SPINE THECA SHUNT
03.99,9,Ot OR nerv,SPINE CANAL STRUC OP NEC
04.01,9,Ot OR nerv,ACOUSTIC NEUROTOMY
04.02,9,Ot OR nerv,TRIGEMINAL NERV DIVISION
04.03,9,Ot OR nerv,PERIPH NERVE DIV NEC
04.04,9,Ot OR nerv,PERIPH NERVE INCIS NEC
04.05,9,Ot OR nerv,GASSERIAN GANGLIONECTOMY
04.06,9,Ot OR nerv,PERIPH GANGLIONECT NEC
04.07,9,Ot OR nerv,PERIPH NERV EXCISION NEC
04.2,9,Ot OR nerv,PERIPH NERVE DESTRUCTION
04.3,9,Ot OR nerv,PERIPHERAL NERVE SUTURE
04.41,9,Ot OR nerv,DECOMPRESS TRIGEM ROOT
04.42,9,Ot OR nerv,CRAN NERV ROOT DECOM NEC
04.5,9,Ot OR nerv,PERIPHERAL NERVE GRAFT
04.6,9,Ot OR nerv,PERIPH NERVE TRANSPOSIT
04.71,9,Ot OR nerv,HYPOGLOSS-FACIAL ANASTOM
04.72,9,Ot OR nerv,ACCESSORY-FACIAL ANASTOM
04.73,9,Ot OR nerv,ACCESS-HYPOGLOSS ANASTOM
04.74,9,Ot OR nerv,PERIPH NERV ANASTOM NEC
04.75,9,Ot OR nerv,POSTOP REVIS PER NERV OP
04.76,9,Ot OR nerv,LATE REPAIR PER NERV INJ
04.79,9,Ot OR nerv,OTHER NEUROPLASTY
04.91,9,Ot OR nerv,NEURECTASIS
04.92,9,Ot OR nerv,IMPLANT PERIPH STIMULAT
04.93,9,Ot OR nerv,REMOVE PERIPH STIMULATOR
04.99,9,Ot OR nerv,PERIPHERAL NERVE OPS NEC
05.0,9,Ot OR nerv,SYMPATH NERVE DIVISION
05.21,9,Ot OR nerv,SPHENOPALATIN GANGLIONEC
05.22,9,Ot OR nerv,CERVICAL SYMPATHECTOMY
05.23,9,Ot OR nerv,LUMBAR SYMPATHECTOMY
05.24,9,Ot OR nerv,PRESACRAL SYMPATHECTOMY
05.25,9,Ot OR nerv,PERIART SYMPATHECT (Begin 1995)
05.29,9,Ot OR nerv,OTHER SYMPATHECTOMY
05.81,9,Ot OR nerv,SYMPATHETIC NERVE REPAIR
05.89,9,Ot OR nerv,SYMPATHETIC NERVE OP NEC
05.9,9,Ot OR nerv,OTHER NERVOUS SYSTEM OPS
17.61,9,Ot OR nerv,LITT lesn brain
80.53,9,Ot OR nerv,REP ANULUS FIBROSUS-GRFT (Begin 2008)
80.54,9,Ot OR nerv,REP ANULS FIBROS NEC/NOS (Begin 2008)
84.58,9,Ot OR nervy,IMP INTRSPINE DECOMP DEV (Begin 2005) (End 2007)
86.94,9,Ot OR nerv,INS/REPL SINGLE PUL GEN (Begin 2004)
86.95,9,Ot OR nerv,INS/REPL DUAL PULSE GEN (Begin 2004)
86.96,9,Ot OR nerv,INSERT/REPL OTH NEUROST (Begin 2004)
86.97,9,Ot OR nerv,INS/REP 1 PUL GEN (Begin 2005)
86.98,9,Ot OR nerv,INS/REP 2 PUL GEN (Begin 2005)
06.2,10,Thyroidect,UNILAT THYROID LOBECTOMY
06.31,10,Thyroidect,EXCISION THYROID LESION
06.39,10,Thyroidect,PART THYROIDECTOMY NEC
06.4,10,Thyroidect,COMPLETE THYROIDECTOMY
06.50,10,Thyroidect,SUBSTERN THYROIDECT NOS
06.51,10,Thyroidect,PART SUBSTERN THYROIDECT
06.52,10,Thyroidect,TOT SUBSTERN THYROIDECT
06.6,10,Thyroidect,LINGUAL THYROID EXCISION
06.11,11,Dx endocr,CLOSED THYROID GLAND BX
06.12,11,Dx endocr,OPEN THYROID GLAND BX
06.13,11,Dx endocr,PARATHYROID BIOPSY
06.19,11,Dx endocr,THYR/PARATHY DX PROC NEC
07.00,11,Dx endocr,ADRENAL EXPLORATION NOS
07.01,11,Dx endocr,UNILAT ADRENAL EXPLORAT
07.02,11,Dx endocr,BILAT ADRENAL EXPLORAT
07.11,11,Dx endocr,CLOSED ADRENAL GLAND BX
07.12,11,Dx endocr,OPEN ADRENAL GLAND BX
07.13,11,Dx endocr,TRANSFRONT PITUITARY BX
07.14,11,Dx endocr,TRANSPHEN PITUITARY BX
07.15,11,Dx endocr,PITUITARY BIOPSY NOS
07.16,11,Dx endocr,THYMUS BIOPSY
07.17,11,Dx endocr,PINEAL BIOPSY
07.19,11,Dx endocr,ENDOCRINE DX PROC NEC
07.51,11,Dx endocr,PINEAL FIELD EXPLORATION
07.71,11,Dx endocr,PITUITARY FOSSA EXPLORAT
07.91,11,Dx endocr,THYMUS FIELD EXPLORATION
06.01,12,Ot Rx endoc,THYROID FIELD ASPIRATION
06.02,12,Ot Rx endoc,REOPEN THYROID FIELD WND
06.09,12,Ot Rx endoc,INCIS THYROID FIELD NEC
06.7,12,Ot Rx endoc,THYROGLOSS DUCT EXCISION
06.81,12,Ot Rx endoc,TOTAL PARATHYROIDECTOMY
06.89,12,Ot Rx endoc,OTHER PARATHYROIDECTOMY
06.91,12,Ot Rx endoc,THYROID ISTHMUS DIVISION
06.92,12,Ot Rx endoc,THYROID VESSEL LIGATION
06.93,12,Ot Rx endoc,THYROID SUTURE
06.94,12,Ot Rx endoc,THYROID REIMPLANTATION
06.95,12,Ot Rx endoc,PARATHYROID REIMPLANT
06.98,12,Ot Rx endoc,OTHER THYROID OPERATIONS
06.99,12,Ot Rx endoc,OTHER PARATHYROID OPS
07.21,12,Ot Rx endoc,ADRENAL LESION EXCISION
07.22,12,Ot Rx endoc,UNILATERAL ADRENALECTOMY
07.29,12,Ot Rx endoc,PART ADRENALECTOMY NEC
07.3,12,Ot Rx endoc,BILATERAL ADRENALECTOMY
07.41,12,Ot Rx endoc,ADRENAL INCISION
07.42,12,Ot Rx endoc,ADRENAL NERVE DIVISION
07.43,12,Ot Rx endoc,ADRENAL VESSEL LIGATION
07.44,12,Ot Rx endoc,ADRENAL REPAIR
07.45,12,Ot Rx endoc,ADRENAL REIMPLANTATION
07.49,12,Ot Rx endoc,ADRENAL OPERATION NEC
07.52,12,Ot Rx endoc,PINEAL GLAND INCISION
07.53,12,Ot Rx endoc,PARTIAL PINEALECTOMY
07.54,12,Ot Rx endoc,TOTAL PINEALECTOMY
07.59,12,Ot Rx endoc,PINEAL OPERATION NEC
07.61,12,Ot Rx endoc,EXC PITUIT LES-TRANSFRON
07.62,12,Ot Rx endoc,EXC PITUIT LES-TRANSPHEN
07.63,12,Ot Rx endoc,PART EXCIS PITUITARY NOS
07.64,12,Ot Rx endoc,TOT EXC PITUIT-TRANSFRON
07.65,12,Ot Rx endoc,TOT EXC PITUIT-TRANSPHEN
07.68,12,Ot Rx endoc,TOTAL EXC PITUITARY NEC
07.69,12,Ot Rx endoc,TOTAL EXC PITUITARY NOS
07.72,12,Ot Rx endoc,PITUITARY GLAND INCISION
07.79,12,Ot Rx endoc,PITUITARY OPERATION NEC
07.80,12,Ot Rx endoc,THYMECTOMY NOS
07.81,12,Ot Rx endoc,PART EXCISION OF THYMUS
07.82,12,Ot Rx endoc,TOTAL EXCISION OF THYMUS
07.83,12,Ot Rx endoc,THORAC PART EXISN THYMUS (Begin 2007)
07.84,12,Ot Rx endoc,THORAC TOTAL EXC THYMUS (Begin 2007)
07.92,12,Ot Rx endoc,INCISION OF THYMUS
07.93,12,Ot Rx endoc,REPAIR OF THYMUS
07.94,12,Ot Rx endoc,THYMUS TRANSPLANTATION
07.95,12,Ot Rx endoc,THORAC INCISION THYMUS (Begin 2007)
07.98,12,Ot Rx endoc,OTH THORAC OP THYMUS NOS (Begin 2007)
07.99,12,Ot Rx endoc,THYMUS OPERATION NEC
11.60,13,Corneal tran,CORNEAL TRANSPLANT NOS
11.61,13,Corneal tran,LAM KERATPLAST W AUTGRFT
11.62,13,Corneal tran,LAMELLAR KERATOPLAST NEC
11.63,13,Corneal tran,PERF KERATOPL W AUTOGRFT
11.64,13,Corneal tran,PERFORAT KERATOPLAST NEC
11.69,13,Corneal tran,CORNEAL TRANSPLANT NEC
12.51,14,Glaucoma prs,GONIOPUNCTURE
12.52,14,Glaucoma prs,GONIOTOMY
12.53,14,Glaucoma prs,GONIOTOMY W GONIOPUNCTUR
12.54,14,Glaucoma prs,TRABECULOTOMY AB EXTERNO
12.55,14,Glaucoma prs,CYCLODIALYSIS
12.59,14,Glaucoma prs,FACILIT INTRAOC CIRC NEC
12.61,14,Glaucoma prs,TREPHIN SCLERA W IRIDECT
12.62,14,Glaucoma prs,THERMCAUT SCLER W IRIDEC
12.63,14,Glaucoma prs,IRIDENCLEISIS/IRIDOTASIS
12.64,14,Glaucoma prs,TRABECULECTOM AB EXTERNO
12.65,14,Glaucoma prs,SCLER FISTULIZ W IRIDECT
12.66,14,Glaucoma prs,POSTOP REVIS SCL FISTUL
12.67,14,Glaucoma prs,Insert aqueous drain dev (Begin 2011)
12.69,14,Glaucoma prs,SCLER FISTULIZING OP NEC
12.71,14,Glaucoma prs,CYCLODIATHERMY
12.72,14,Glaucoma prs,CYCLOCRYOTHERAPY
12.73,14,Glaucoma prs,CYCLOPHOTOCOAGULATION
12.74,14,Glaucoma prs,CIL BODY DIMINUTION NOS
12.79,14,Glaucoma prs,GLAUCOMA PROCEDURE NEC
13.11,15,Cataract prs,TEMP-INF INTRCAP LENS EX
13.19,15,Cataract prs,INTRACAPSUL LENS EXT NEC
13.2,15,Cataract prs,LINEAR EXTRACAP LENS EXT
13.3,15,Cataract prs,SIMPL ASPIR LENS EXTRACT
13.41,15,Cataract prs,CATARAC PHACOEMULS/ASPIR
13.42,15,Cataract prs,POST CATARAC FRAG/ASPIR
13.43,15,Cataract prs,CATARACT FRAG/ASPIR NEC
13.51,15,Cataract prs,TEMP-INF XTRACAP LENS EX
13.59,15,Cataract prs,EXTRACAP LENS EXTRAC NEC
13.61,15,Cataract prs,DISC PRIME MEM CATARACT (Begin 1980 End 1991)
13.62,15,Cataract prs,EXC PRIME MEM CATARACT (Begin 1980 End 1991)
13.63,15,Cataract prs,MECH FRAG MEM CATARACT (Begin 1980 End 1991)
13.64,15,Cataract prs,AFTER-CATAR DISCISSION
13.65,15,Cataract prs,AFTER-CATARACT EXCISION
13.66,15,Cataract prs,AFTER CATAR FRAGMNTATION
13.69,15,Cataract prs,CATARACT EXTRACTION NEC
13.70,15,Cataract prs,INSERT PSEUDOPHAKOS NOS
13.71,15,Cataract prs,INSERT LENS AT CATAR EXT
13.72,15,Cataract prs,SECONDARY INSERT LENS
13.8,15,Cataract prs,IMPLANTED LENS REMOVAL
13.9,15,Cataract prs,OTHER OPERATIONS ON LENS
13.90,15,Cataract prs,OPERATION ON LENS NEC (Begin 2006)
13.91,15,Cataract prs,IMPL INTRAOC TELESC PROS (Begin 2006)
14.31,16,Rpr retina,RETINAL TEAR DIATHERMY
14.32,16,Rpr retina,RETINAL TEAR CRYOTHERAPY
14.33,16,Rpr retina,RETINAL TEAR XENON COAG
14.34,16,Rpr retina,RETINAL TEAR LASER COAG
14.35,16,Rpr retina,RETINA TEAR PHOTOCOA NOS
14.39,16,Rpr retina,RETINAL TEAR REPAIR NEC
14.41,16,Rpr retina,SCLERAL BUCKLE W IMPLANT
14.49,16,Rpr retina,SCLERAL BUCKLING NEC
14.51,16,Rpr retina,DETACH RETINA-DIATHERMY
14.52,16,Rpr retina,DETACH RETINA-CRYOTHERAP
14.53,16,Rpr retina,DETACH RETINA XENON COAG
14.54,16,Rpr retina,DETACH RETINA LASER COAG
14.55,16,Rpr retina,DETACH RET PHOTOCOAG NOS
14.59,16,Rpr retina,REPAIR RETINA DETACH NEC
14.21,17,Retin les pr,CHORIORET LES DIATHERMY
14.22,17,Retin les pr,CHORIORETIN LES CRYOTHER
14.23,17,Retin les pr,CHORIORET LES XENON COAG
14.24,17,Retin les pr,CHORIORET LES LASER COAG
14.25,17,Retin les pr,CHORIORET LES P/COAG NOS
14.26,17,Retin les pr,CHORIORET LES RADIOTHER
14.27,17,Retin les pr,CHORIORET LES RAD IMPLAN
14.29,17,Retin les pr,CHORIORET LES DESTR NEC
08.11,18,Dx eye,EYELID BIOPSY
08.19,18,Dx eye,EYELID DX PROCEDURE NEC
09.11,18,Dx eye,LACRIMAL GLAND BIOPSY
09.12,18,Dx eye,LACRIMAL SAC BIOPSY
09.19,18,Dx eye,LACRIMAL SYS DX PROC NEC
10.21,18,Dx eye,CONJUNCTIVAL BIOPSY
10.29,18,Dx eye,CONJUNCTIVA DX PROC NEC
11.21,18,Dx eye,CORNEAL SCRAPE FOR SMEAR
11.22,18,Dx eye,CORNEAL BIOPSY
11.29,18,Dx eye,CORNEAL DX PROC NEC
12.21,18,Dx eye,DX ASPIRAT-ANT CHAMBER
12.22,18,Dx eye,IRIS BIOPSY
12.29,18,Dx eye,ANT SEGMENT DX PROC NEC
14.11,18,Dx eye,DIAGNOST VITREOUS ASPIR
14.19,18,Dx eye,DX PROC POST SEG NEC
15.01,18,Dx eye,EXTRAOC MUSC-TEND BIOPSY
15.09,18,Dx eye,EXTRAOC MUSC DX PROC NEC
16.21,18,Dx eye,OPHTHALMOSCOPY
16.22,18,Dx eye,DIAGNOSTIC ASP OF ORBIT
16.23,18,Dx eye,EYEBALL & ORBIT BIOPSY
16.29,18,Dx eye,EYEBAL/ORBIT DX PROC NEC
08.01,19,Ot Rx eye,INCISION OF LID MARGIN
08.02,19,Ot Rx eye,BLEPHARORRHAPHY SEVERING
08.09,19,Ot Rx eye,OTHER EYELID INCISION
08.20,19,Ot Rx eye,REMOVE EYELID LESION NOS
08.21,19,Ot Rx eye,CHALAZION EXCISION
08.22,19,Ot Rx eye,EXCISE MINOR LES LID NEC
08.23,19,Ot Rx eye,EXC MAJ LES LID PRT-THIC
08.24,19,Ot Rx eye,EXC MAJ LES LID FUL-THIC
08.25,19,Ot Rx eye,DESTRUCTION LID LESION
08.31,19,Ot Rx eye,PTOSIS REP-FRONT MUS SUT
08.32,19,Ot Rx eye,PTOSIS REP-FRON MUS SLNG
08.33,19,Ot Rx eye,PTOSIS REP-LEVAT MUS ADV
08.34,19,Ot Rx eye,PTOSIS REP-LEVAT MUS NEC
08.35,19,Ot Rx eye,PTOS REP-TARSAL TECHNIQ
08.36,19,Ot Rx eye,BLEPHAROPTOS REPAIR NEC
08.37,19,Ot Rx eye,REDUC OVERCORRECT PTOSIS
08.38,19,Ot Rx eye,CORRECT LID RETRACTION
08.41,19,Ot Rx eye,THERMOCAUT/ENTROPION REP
08.42,19,Ot Rx eye,SUTURE ENTROPION REPAIR
08.43,19,Ot Rx eye,WEDG RESEC ENTROPION REP
08.44,19,Ot Rx eye,LID RECONS ENTROPION REP
08.49,19,Ot Rx eye,ENTROPION/ECTROP REP NEC
08.51,19,Ot Rx eye,CANTHOTOMY
08.52,19,Ot Rx eye,BLEPHARORRHAPHY
08.59,19,Ot Rx eye,ADJUST LID POSITION NEC
08.61,19,Ot Rx eye,LID RECONST W SKIN GRAFT
08.62,19,Ot Rx eye,LID RECONST W MUC GRAFT
08.63,19,Ot Rx eye,LID RECONST W HAIR GRAFT
08.64,19,Ot Rx eye,LID RECON-TARSOCONJ FLAP
08.69,19,Ot Rx eye,LID RECONSTR W GRAFT NEC
08.70,19,Ot Rx eye,LID RECONSTRUCTION NOS
08.71,19,Ot Rx eye,LID MARG RECON-PART THIC
08.72,19,Ot Rx eye,LID RECONS-PART THIC NEC
08.73,19,Ot Rx eye,LID MARG RECONS FUL THIC
08.74,19,Ot Rx eye,LID RECONST-FUL THIC NEC
08.81,19,Ot Rx eye,LINEAR REP LID LACER
08.82,19,Ot Rx eye,LID MARG LAC RX-PART TH
08.83,19,Ot Rx eye,LID LACER RX-PRT TH NEC
08.84,19,Ot Rx eye,LID MARG LAC RX-FUL THIC
08.85,19,Ot Rx eye,LID LAC RX-FUL THIC NEC
08.86,19,Ot Rx eye,LOWER LID RHYTIDECTOMY
08.87,19,Ot Rx eye,UPPER LID RHYTIDECTOMY
08.89,19,Ot Rx eye,EYELID REPAIR NEC
08.91,19,Ot Rx eye,ELECTROSURG LID EPILAT
08.92,19,Ot Rx eye,CRYOSURG LID EPILATION
08.93,19,Ot Rx eye,EYELID EPILATION NEC
08.99,19,Ot Rx eye,EYELID OPERATION NEC
09.0,19,Ot Rx eye,LACRIMAL GLAND INCISION
09.20,19,Ot Rx eye,EXC LACRIMAL GLAND NOS
09.21,19,Ot Rx eye,EXCIS LES LACRIMAL GLAND
09.22,19,Ot Rx eye,PART DACRYOADENECT NEC
09.23,19,Ot Rx eye,TOTAL DACRYOADENECTOMY
09.3,19,Ot Rx eye,OTHER LACRIMAL GLAND OPS
09.41,19,Ot Rx eye,LACRIMAL PUNCTUM PROBE
09.42,19,Ot Rx eye,LAC CANALICULI PROBE
09.43,19,Ot Rx eye,NASOLACRIMAL DUCT PROBE
09.44,19,Ot Rx eye,NASOLAC DUCT INTUBAT
09.49,19,Ot Rx eye,LAC PASSAGE MANIP NEC
09.51,19,Ot Rx eye,LAC PUNCTUM INCISION
09.52,19,Ot Rx eye,LAC CANALICULI INCISION
09.53,19,Ot Rx eye,LACRIMAL SAC INCISION
09.59,19,Ot Rx eye,LACRIM PASSAGE INCIS NEC
09.6,19,Ot Rx eye,LACRIM SAC/PASSAGE EXCIS
09.71,19,Ot Rx eye,CORRECT EVERTED PUNCTUM
09.72,19,Ot Rx eye,PUNCTUM REPAIR NEC
09.73,19,Ot Rx eye,CANALICULUS REPAIR
09.81,19,Ot Rx eye,DACRYOCYSTORHINOSTOMY
09.82,19,Ot Rx eye,CONJUNCTIVOCYSTORHINOST
09.83,19,Ot Rx eye,CONJUNCTIVORHINOS W TUBE
09.91,19,Ot Rx eye,LAC PUNCTUM OBLITERATION
09.99,19,Ot Rx eye,LACRIMAL SYSTEM OP NEC
10.0,19,Ot Rx eye,INCISE/REMOV CONJUNCT FB
10.1,19,Ot Rx eye,CONJUNCTIVA INCISION NEC
10.31,19,Ot Rx eye,EXCISE CONJUNCTIV LESION
10.32,19,Ot Rx eye,DESTRUCT CONJUNC LES NEC
10.33,19,Ot Rx eye,OTH CONJUNC DESTRUC PROC
10.41,19,Ot Rx eye,SYMBLEPH REP W FREE GRFT
10.42,19,Ot Rx eye,GRAFT CONJUNC CUL-DE-SAC
10.43,19,Ot Rx eye,CONJUN CUL-DE-SAC RX NEC
10.44,19,Ot Rx eye,CONJUNC FREE GRAFT NEC
10.49,19,Ot Rx eye,CONJUNCTIVOPLASTY NEC
10.5,19,Ot Rx eye,CONJUNC/LID ADHESIOLYSIS
10.6,19,Ot Rx eye,REPAIR CONJUNCT LACERAT
10.91,19,Ot Rx eye,SUBCONJUNCTIVAL INJECT
10.99,19,Ot Rx eye,CONJUNCTIVAL OP NEC
11.0,19,Ot Rx eye,MAGNET REMOVAL CORNEA FB
11.1,19,Ot Rx eye,CORNEAL INCISION
11.31,19,Ot Rx eye,PTERYGIUM TRANSPOSITION
11.32,19,Ot Rx eye,PTERYG EXC W CORNEA GRFT
11.39,19,Ot Rx eye,PTERYGIUM EXCISION NEC
11.41,19,Ot Rx eye,MECH REMOV CORNEA EPITH
11.42,19,Ot Rx eye,THERMOCAUT CORNEA LESION
11.43,19,Ot Rx eye,CRYOTHERAP CORNEA LESION
11.49,19,Ot Rx eye,DESTRUCT CORNEA LES NEC
11.51,19,Ot Rx eye,SUTURE CORNEA LACERATION
11.52,19,Ot Rx eye,REP CORNEA POSTOP DEHISC
